cliente_id,idade,renda_mensal,score_credito,valor,prazo,taxa,tempo_relacionamento,qtd_produtos_ativos,qtd_atrasos_12m,genero,estado_civil,escolaridade,regiao,uf,porte_municipio,tipo_produto,canal_aquisicao
100022,40,17102,556,81083,24,0.2344,8,3,2,M,Divorciado,Fundamental,Sudeste,RJ,Pequeno,Cartão de Crédito,Agência
100023,28,16185,378,138778,60,0.2448,7,2,0,M,Casado,Pós-graduação,Sul,PR,Médio,Financiamento Veículo,Digital
100024,30,16490,837,32245,36,0.213,8,3,0,F,Divorciado,Fundamental,Sudeste,MG,Grande,Crédito Pessoal,Digital
100025,21,3699,539,14331,36,0.1548,12,1,0,F,Divorciado,Médio,Sul,RS,Grande,Cartão de Crédito,Digital
100026,36,27026,677,76084,36,0.0851,10,1,0,M,Divorciado,Médio,Sudeste,RJ,Pequeno,Financiamento Veículo,Agência
100027,63,2454,858,138566,48,0.1635,6,1,0,F,Viúvo,Médio,Sudeste,ES,Médio,Crédito Pessoal,Digital
100028,50,22187,678,21192,60,0.0851,2,3,0,F,Divorciado,Superior,Norte,AM,Médio,Cartão de Crédito,Digital
100029,28,19104,776,87388,60,0.2237,6,4,0,F,Casado,Médio,Sul,SC,Grande,Crédito Pessoal,Parceiro
100030,51,17467,432,46465,24,0.1032,5,1,0,M,Solteiro,Médio,Sudeste,SP,Médio,Cartão de Crédito,Digital
100031,28,25701,636,126443,24,0.1304,14,4,1,M,Solteiro,Pós-graduação,Sudeste,SP,Médio,Financiamento Veículo,Digital
100032,40,13568,427,128711,48,0.0968,3,3,0,M,Viúvo,Superior,Sudeste,MG,Pequeno,Cartão de Crédito,Digital
100033,57,22711,520,120939,36,0.1753,12,4,0,M,Viúvo,Fundamental,Nordeste,CE,Médio,Empréstimo Consignado,Parceiro
100034,43,3137,394,66252,24,0.1919,8,2,0,M,Divorciado,Médio,Norte,PA,Pequeno,Crédito Pessoal,Digital
100035,47,10383,393,71821,60,0.2428,12,3,1,M,Viúvo,Fundamental,Nordeste,BA,Pequeno,Crédito Pessoal,Parceiro
100036,48,5485,889,77510,48,0.2214,4,3,0,M,Viúvo,Superior,Centro-Oeste,DF,Pequeno,Financiamento Veículo,Agência
100037,33,6104,330,148229,12,0.2128,1,1,0,F,Casado,Pós-graduação,Norte,PA,Grande,Cartão de Crédito,Digital
100038,29,25619,665,127520,36,0.117,9,3,3,F,Divorciado,Pós-graduação,Nordeste,CE,Médio,Crédito Pessoal,Digital
100039,53,10954,432,141737,60,0.1162,4,3,2,M,Solteiro,Pós-graduação,Sudeste,RJ,Médio,Cartão de Crédito,Digital
100040,25,17741,871,109810,24,0.2362,3,4,3,M,Divorciado,Médio,Norte,TO,Médio,Cartão de Crédito,Agência
100041,33,19817,855,67467,36,0.1523,13,3,1,F,Divorciado,Médio,Centro-Oeste,DF,Médio,Cartão de Crédito,Agência
100042,20,1735,817,112007,24,0.2439,3,4,0,M,Viúvo,Pós-graduação,Sudeste,SP,Médio,Crédito Pessoal,Parceiro
100043,59,8706,722,50810,36,0.2441,9,3,0,M,Divorciado,Superior,Sul,SC,Médio,Crédito Pessoal,Digital
100044,42,2888,466,50426,36,0.235,14,2,0,F,Divorciado,Superior,Sudeste,MG,Grande,Financiamento Veículo,Digital
100045,52,18783,540,92490,12,0.0728,13,4,0,F,Casado,Fundamental,Centro-Oeste,MS,Médio,Financiamento Veículo,Agência
100046,25,21065,544,98955,12,0.0952,14,4,4,Outro,Casado,Pós-graduação,Nordeste,PE,Grande,Empréstimo Consignado,Digital
100047,32,8602,723,90202,12,0.2107,13,1,0,Outro,Viúvo,Fundamental,Sudeste,MG,Grande,Financiamento Veículo,Agência
100048,23,12543,308,45288,12,0.163,3,4,1,F,Casado,Pós-graduação,Sul,PR,Grande,Financiamento Veículo,Digital
100049,59,24340,781,61361,12,0.0818,14,2,0,M,Casado,Superior,Nordeste,MA,Pequeno,Crédito Pessoal,Digital
100050,20,18981,353,65432,48,0.0922,12,4,1,M,Solteiro,Fundamental,Sudeste,SP,Médio,Empréstimo Consignado,Digital
100051,53,22247,769,93208,12,0.1715,12,1,0,M,Divorciado,Fundamental,Sul,RS,Médio,Financiamento Veículo,Parceiro
100052,59,23577,715,21424,48,0.1472,10,2,1,F,Casado,Fundamental,Sudeste,RJ,Médio,Cartão de Crédito,Digital
100053,46,7422,692,47404,24,0.0969,4,2,0,F,Divorciado,Superior,Sudeste,MG,Pequeno,Cartão de Crédito,Agência
100054,45,11010,309,149444,24,0.0851,14,3,0,F,Solteiro,Fundamental,Nordeste,CE,Médio,Cartão de Crédito,Agência
100055,30,16476,896,88785,48,0.156,2,3,4,M,Divorciado,Fundamental,Sudeste,SP,Médio,Crédito Pessoal,Digital
100056,58,15000,319,98976,60,0.2192,1,3,0,F,Divorciado,Fundamental,Nordeste,PE,Pequeno,Financiamento Veículo,Agência
100057,37,6142,406,96977,12,0.2437,6,2,0,F,Casado,Superior,Sudeste,MG,Grande,Empréstimo Consignado,Digital
100058,31,20569,305,129834,48,0.1828,4,4,0,F,Solteiro,Fundamental,Norte,RO,Médio,Crédito Pessoal,Parceiro
100059,62,4539,769,102300,12,0.1049,2,2,1,M,Divorciado,Pós-graduação,Nordeste,PE,Pequeno,Cartão de Crédito,Agência
100060,63,5841,476,36662,24,0.1318,9,2,2,F,Viúvo,Pós-graduação,Nordeste,PE,Médio,Financiamento Veículo,Agência
100061,58,4495,606,40391,36,0.2014,1,2,0,F,Casado,Médio,Sudeste,MG,Médio,Empréstimo Consignado,Agência
100062,41,20302,444,132457,36,0.1344,14,1,2,M,Solteiro,Médio,Centro-Oeste,MT,Pequeno,Cartão de Crédito,Agência
100063,40,11406,536,22926,24,0.114,7,3,1,F,Casado,Pós-graduação,Sudeste,MG,Médio,Cartão de Crédito,Digital
100064,23,2375,635,22276,12,0.0976,14,1,0,M,Viúvo,Pós-graduação,Nordeste,BA,Grande,Empréstimo Consignado,Digital
100065,30,8668,826,72151,24,0.1285,4,4,0,F,Solteiro,Pós-graduação,Nordeste,BA,Grande,Crédito Pessoal,Digital
100066,41,18938,586,41005,36,0.1259,8,1,2,M,Viúvo,Médio,Sudeste,ES,Grande,Empréstimo Consignado,Digital
100067,21,5902,690,102471,48,0.1144,10,4,0,F,Divorciado,Pós-graduação,Sudeste,ES,Grande,Financiamento Veículo,Agência
100068,57,10059,388,43056,60,0.233,11,3,1,M,Viúvo,Médio,Sudeste,RJ,Pequeno,Financiamento Veículo,Digital
100069,42,27352,397,53940,60,0.1721,1,3,0,M,Viúvo,Superior,Nordeste,MA,Pequeno,Empréstimo Consignado,Digital
100070,53,22460,558,81118,12,0.2433,12,3,0,F,Divorciado,Médio,Sudeste,MG,Médio,Financiamento Veículo,Agência
100071,23,29405,318,147499,12,0.2412,12,1,1,F,Viúvo,Médio,Sudeste,RJ,Grande,Empréstimo Consignado,Digital
100072,51,22680,323,101711,48,0.0603,11,1,0,M,Solteiro,Superior,Sudeste,ES,Médio,Financiamento Veículo,Digital
100073,57,25771,745,7997,24,0.2129,10,2,0,F,Viúvo,Médio,Sudeste,MG,Pequeno,Empréstimo Consignado,Digital
100074,31,4880,572,135370,12,0.1164,3,1,0,F,Viúvo,Médio,Sudeste,MG,Pequeno,Cartão de Crédito,Agência
100075,61,22728,791,140638,24,0.1992,12,3,1,F,Solteiro,Superior,Sul,PR,Médio,Cartão de Crédito,Agência
100076,39,9625,866,37887,48,0.1512,1,1,0,Outro,Divorciado,Fundamental,Sudeste,MG,Médio,Empréstimo Consignado,Parceiro
100077,34,28943,355,39359,24,0.1712,1,2,0,M,Divorciado,Pós-graduação,Nordeste,MA,Pequeno,Cartão de Crédito,Agência
100078,47,7523,473,44113,60,0.2273,9,3,0,F,Viúvo,Fundamental,Sudeste,RJ,Pequeno,Cartão de Crédito,Digital
100079,49,12481,814,91850,48,0.1068,9,2,2,M,Divorciado,Fundamental,Norte,PA,Médio,Financiamento Veículo,Digital
100080,23,25388,622,129158,24,0.2005,1,3,0,M,Casado,Fundamental,Sudeste,MG,Grande,Financiamento Veículo,Digital
100081,68,2741,316,20980,60,0.2013,9,3,0,M,Viúvo,Fundamental,Sudeste,SP,Médio,Cartão de Crédito,Digital
100082,66,10461,486,127998,36,0.2014,2,3,0,F,Solteiro,Superior,Nordeste,PE,Grande,Financiamento Veículo,Digital
100083,22,8836,830,132683,24,0.1713,2,1,0,F,Solteiro,Médio,Sudeste,MG,Grande,Financiamento Veículo,Digital
100084,45,6543,872,75128,24,0.1854,6,2,0,M,Viúvo,Médio,Nordeste,PE,Pequeno,Empréstimo Consignado,Parceiro
100085,55,21706,846,124885,48,0.0717,11,2,0,M,Casado,Superior,Centro-Oeste,DF,Grande,Empréstimo Consignado,Digital
100086,52,19051,732,21823,12,0.0817,9,2,4,M,Solteiro,Médio,Nordeste,CE,Grande,Empréstimo Consignado,Digital
100087,34,2470,323,64300,24,0.1023,10,1,2,F,Viúvo,Fundamental,Sudeste,SP,Pequeno,Financiamento Veículo,Digital
100088,26,23954,590,68807,24,0.1249,7,4,0,F,Divorciado,Pós-graduação,Sudeste,SP,Pequeno,Financiamento Veículo,Digital
100089,36,6632,652,74547,36,0.094,14,3,0,F,Casado,Fundamental,Sudeste,MG,Médio,Empréstimo Consignado,Agência
100090,38,8530,667,127265,24,0.0979,14,4,0,F,Viúvo,Fundamental,Nordeste,MA,Médio,Empréstimo Consignado,Agência
100091,38,27173,786,121992,36,0.0649,13,4,1,F,Casado,Pós-graduação,Sul,PR,Pequeno,Empréstimo Consignado,Digital
100092,52,14162,388,35451,12,0.1398,7,1,2,F,Solteiro,Médio,Sudeste,MG,Grande,Cartão de Crédito,Digital
100093,25,6014,526,116728,36,0.1715,2,2,1,F,Divorciado,Médio,Sudeste,RJ,Médio,Crédito Pessoal,Digital
100094,66,14597,486,52421,36,0.1027,7,4,1,F,Viúvo,Superior,Sudeste,ES,Grande,Crédito Pessoal,Parceiro
100095,58,27107,477,16325,12,0.1709,12,3,1,M,Solteiro,Fundamental,Sudeste,RJ,Grande,Crédito Pessoal,Agência
100096,40,20929,559,51129,36,0.1546,13,3,1,F,Casado,Superior,Sudeste,ES,Grande,Cartão de Crédito,Digital
100097,38,17757,757,6771,48,0.1063,9,3,4,M,Casado,Fundamental,Sudeste,MG,Grande,Cartão de Crédito,Agência
100098,51,5305,693,63745,24,0.1598,8,3,0,M,Casado,Pós-graduação,Sudeste,SP,Médio,Financiamento Veículo,Agência
100099,46,18593,587,62593,24,0.0943,5,2,0,F,Solteiro,Pós-graduação,Sudeste,ES,Médio,Financiamento Veículo,Digital
100100,60,28017,818,54619,48,0.0569,6,1,0,M,Casado,Fundamental,Nordeste,CE,Médio,Crédito Pessoal,Agência
100101,59,20188,706,45889,24,0.2024,8,3,4,F,Viúvo,Superior,Centro-Oeste,MT,Grande,Crédito Pessoal,Agência
100102,48,22633,347,147866,48,0.1736,14,1,0,F,Casado,Médio,Sul,SC,Pequeno,Crédito Pessoal,Digital
100103,38,15449,441,136949,12,0.1614,12,4,0,M,Casado,Pós-graduação,Sudeste,MG,Pequeno,Crédito Pessoal,Agência
100104,26,17519,575,60171,24,0.1482,12,2,0,Outro,Divorciado,Pós-graduação,Nordeste,MA,Pequeno,Crédito Pessoal,Digital
100105,30,7623,732,83136,48,0.2319,5,4,4,M,Solteiro,Pós-graduação,Norte,TO,Grande,Empréstimo Consignado,Agência
100106,25,17533,573,117060,12,0.0842,1,1,1,M,Divorciado,Superior,Nordeste,CE,Médio,Financiamento Veículo,Parceiro
100107,25,5223,403,59963,60,0.1094,13,3,1,F,Casado,Fundamental,Sul,PR,Grande,Financiamento Veículo,Agência
100108,37,26803,518,129253,24,0.0594,13,3,0,M,Solteiro,Superior,Nordeste,BA,Médio,Empréstimo Consignado,Parceiro
100109,53,16550,497,11426,24,0.2098,2,1,0,M,Divorciado,Fundamental,Norte,AM,Pequeno,Empréstimo Consignado,Digital
100110,29,4119,309,133400,24,0.1887,13,3,0,F,Divorciado,Superior,Nordeste,MA,Médio,Empréstimo Consignado,Digital
100111,61,8118,576,34922,48,0.2234,7,2,3,M,Viúvo,Superior,Sul,PR,Médio,Financiamento Veículo,Digital
100112,54,3243,695,131903,48,0.2107,7,3,1,F,Divorciado,Superior,Sudeste,RJ,Médio,Empréstimo Consignado,Agência
100113,67,22034,534,84800,24,0.1745,1,4,0,M,Viúvo,Médio,Sudeste,RJ,Grande,Cartão de Crédito,Agência
100114,57,1775,812,62763,36,0.0926,1,4,0,M,Solteiro,Superior,Sul,PR,Grande,Empréstimo Consignado,Digital
100115,40,5720,821,11975,48,0.1214,6,3,1,F,Viúvo,Fundamental,Sudeste,ES,Pequeno,Financiamento Veículo,Digital
100116,41,14785,661,37933,36,0.1815,5,4,0,F,Divorciado,Fundamental,Sul,RS,Pequeno,Empréstimo Consignado,Parceiro
100117,61,7791,580,71828,60,0.1511,3,4,0,M,Divorciado,Fundamental,Sudeste,RJ,Médio,Empréstimo Consignado,Agência
100118,69,28851,639,80617,36,0.0897,5,1,0,M,Viúvo,Superior,Nordeste,BA,Médio,Cartão de Crédito,Digital
100119,66,11619,893,74437,12,0.1672,7,1,0,M,Casado,Médio,Nordeste,CE,Grande,Cartão de Crédito,Digital
100120,53,4090,639,130317,48,0.2285,11,1,0,M,Divorciado,Fundamental,Sudeste,SP,Grande,Crédito Pessoal,Digital
100121,45,8145,687,129485,36,0.1222,2,3,0,M,Casado,Médio,Nordeste,MA,Médio,Empréstimo Consignado,Agência
100122,25,19701,353,61101,36,0.0622,10,4,1,F,Solteiro,Superior,Sudeste,RJ,Pequeno,Empréstimo Consignado,Agência
100123,47,4354,853,9229,24,0.2293,5,1,0,M,Casado,Fundamental,Sudeste,MG,Médio,Cartão de Crédito,Digital
100124,52,10157,400,128019,36,0.2494,6,1,0,M,Solteiro,Superior,Sudeste,SP,Médio,Financiamento Veículo,Digital
100125,32,12404,511,44175,48,0.106,5,4,0,M,Divorciado,Médio,Nordeste,MA,Grande,Crédito Pessoal,Agência
100126,45,3258,321,53353,12,0.2464,14,4,1,F,Viúvo,Pós-graduação,Sudeste,SP,Grande,Empréstimo Consignado,Digital
100127,39,9353,844,121692,48,0.103,14,2,0,M,Divorciado,Superior,Sul,PR,Médio,Financiamento Veículo,Digital
100128,38,3133,898,7320,48,0.1928,6,2,0,F,Casado,Médio,Sudeste,RJ,Médio,Crédito Pessoal,Agência
100129,23,10186,851,29624,24,0.1106,8,1,0,F,Viúvo,Fundamental,Sudeste,ES,Pequeno,Crédito Pessoal,Agência
100130,62,6603,701,121981,24,0.156,14,4,0,F,Viúvo,Fundamental,Sudeste,RJ,Médio,Empréstimo Consignado,Agência
100131,49,24461,617,119596,12,0.0758,7,3,1,F,Casado,Superior,Centro-Oeste,MS,Médio,Crédito Pessoal,Agência
100132,49,15655,677,10645,60,0.1991,1,1,0,F,Viúvo,Pós-graduação,Sudeste,ES,Médio,Cartão de Crédito,Digital
100133,52,20363,528,105716,24,0.0987,1,2,1,F,Divorciado,Pós-graduação,Sudeste,RJ,Grande,Cartão de Crédito,Digital
100134,26,25256,818,139765,24,0.2043,4,1,1,F,Divorciado,Pós-graduação,Nordeste,CE,Pequeno,Empréstimo Consignado,Agência
100135,37,23948,777,85106,60,0.1657,5,2,1,M,Divorciado,Pós-graduação,Sudeste,RJ,Grande,Cartão de Crédito,Parceiro
100136,30,3219,689,13759,48,0.112,10,3,0,M,Viúvo,Fundamental,Sudeste,RJ,Médio,Empréstimo Consignado,Agência
100137,24,12068,841,88265,48,0.056,5,3,0,M,Divorciado,Fundamental,Sul,PR,Médio,Financiamento Veículo,Digital
100138,67,4010,396,111460,48,0.1057,3,2,0,F,Solteiro,Fundamental,Sudeste,MG,Médio,Crédito Pessoal,Agência
100139,39,9725,385,29234,12,0.0819,4,4,0,M,Divorciado,Médio,Sudeste,SP,Médio,Empréstimo Consignado,Agência
100140,46,25089,581,70446,60,0.1137,5,1,1,F,Divorciado,Médio,Sudeste,RJ,Grande,Financiamento Veículo,Digital
100141,27,12864,683,1869,36,0.2072,3,4,1,M,Solteiro,Superior,Nordeste,CE,Grande,Cartão de Crédito,Digital
100142,60,3746,794,30344,24,0.1591,3,1,2,F,Viúvo,Médio,Centro-Oeste,MT,Médio,Crédito Pessoal,Agência
100143,54,18045,823,94746,36,0.1361,4,1,0,F,Viúvo,Fundamental,Sudeste,SP,Grande,Crédito Pessoal,Digital
100144,49,5327,721,134165,24,0.0776,2,1,0,F,Casado,Pós-graduação,Nordeste,PE,Pequeno,Empréstimo Consignado,Digital
100145,66,1982,308,130341,12,0.1247,1,4,0,M,Casado,Médio,Sudeste,SP,Pequeno,Financiamento Veículo,Digital
100146,39,8217,314,99060,60,0.1069,6,1,0,F,Divorciado,Pós-graduação,Centro-Oeste,MT,Médio,Crédito Pessoal,Digital
100147,60,2553,831,136252,60,0.0981,12,4,1,M,Divorciado,Fundamental,Centro-Oeste,MS,Grande,Financiamento Veículo,Parceiro
100148,39,17687,577,115664,48,0.0768,5,1,2,F,Viúvo,Médio,Centro-Oeste,GO,Médio,Empréstimo Consignado,Digital
100149,56,5267,472,54510,60,0.1368,9,2,1,F,Solteiro,Pós-graduação,Sudeste,RJ,Grande,Empréstimo Consignado,Agência
100150,64,13720,742,147862,36,0.1422,1,3,0,F,Divorciado,Fundamental,Norte,RO,Pequeno,Financiamento Veículo,Digital
100151,63,23526,587,133188,36,0.0952,8,1,1,F,Solteiro,Pós-graduação,Sudeste,SP,Pequeno,Financiamento Veículo,Digital
100152,60,28161,829,105535,24,0.0548,6,2,0,M,Divorciado,Pós-graduação,Sudeste,RJ,Pequeno,Empréstimo Consignado,Agência
100153,64,15371,591,9197,36,0.2433,3,1,0,M,Solteiro,Superior,Sul,RS,Médio,Financiamento Veículo,Agência
100154,28,25867,534,76262,48,0.0775,4,2,0,M,Casado,Fundamental,Nordeste,BA,Grande,Cartão de Crédito,Digital
100155,24,10482,645,70890,24,0.2212,5,2,1,M,Divorciado,Fundamental,Sul,RS,Pequeno,Crédito Pessoal,Digital
100156,23,18225,556,100297,24,0.1429,11,4,0,M,Viúvo,Médio,Norte,RO,Médio,Crédito Pessoal,Digital
100157,32,12891,777,142615,24,0.0742,7,1,0,M,Divorciado,Pós-graduação,Sudeste,RJ,Grande,Crédito Pessoal,Digital
100158,38,26720,860,149651,12,0.0646,11,3,0,M,Divorciado,Superior,Sudeste,MG,Pequeno,Financiamento Veículo,Digital
100159,53,19902,449,118368,12,0.2367,7,4,2,M,Viúvo,Fundamental,Nordeste,CE,Médio,Empréstimo Consignado,Digital
100160,48,19706,526,97142,24,0.113,9,1,0,F,Viúvo,Pós-graduação,Sul,PR,Grande,Financiamento Veículo,Digital
100161,64,27950,734,89551,36,0.0995,11,3,1,M,Casado,Fundamental,Sudeste,ES,Médio,Crédito Pessoal,Digital
100162,59,8138,694,110155,24,0.1612,12,2,0,F,Casado,Médio,Sul,SC,Pequeno,Empréstimo Consignado,Parceiro
100163,23,24499,616,92303,36,0.1652,14,2,0,M,Divorciado,Fundamental,Nordeste,MA,Médio,Empréstimo Consignado,Digital
100164,52,29149,336,148494,36,0.1816,10,4,0,F,Viúvo,Superior,Nordeste,BA,Médio,Empréstimo Consignado,Digital
100165,61,17523,691,44060,60,0.1617,3,1,2,F,Divorciado,Pós-graduação,Sul,SC,Grande,Crédito Pessoal,Digital
100166,44,19002,410,24511,24,0.1267,3,4,0,F,Solteiro,Superior,Centro-Oeste,DF,Grande,Empréstimo Consignado,Digital
100167,20,10739,815,121739,60,0.1907,8,2,0,M,Solteiro,Médio,Norte,AM,Pequeno,Empréstimo Consignado,Digital
100168,63,29194,401,139642,36,0.1084,7,4,0,F,Viúvo,Pós-graduação,Norte,TO,Médio,Financiamento Veículo,Digital
100169,32,19700,653,110687,36,0.1536,13,1,0,F,Casado,Superior,Norte,AM,Médio,Financiamento Veículo,Digital
100170,51,17533,809,43220,24,0.1162,14,4,0,M,Casado,Pós-graduação,Sudeste,RJ,Grande,Cartão de Crédito,Agência
100171,26,24271,503,67548,60,0.1391,7,3,0,F,Casado,Médio,Sudeste,SP,Médio,Financiamento Veículo,Parceiro
100172,50,11100,539,51754,12,0.197,10,4,0,F,Viúvo,Médio,Centro-Oeste,MT,Pequeno,Financiamento Veículo,Agência
100173,20,22747,497,30648,36,0.2296,12,3,0,F,Solteiro,Pós-graduação,Nordeste,MA,Médio,Empréstimo Consignado,Agência
100174,44,6350,461,139867,12,0.0621,9,2,0,M,Solteiro,Médio,Nordeste,BA,Pequeno,Cartão de Crédito,Agência
100175,55,25626,577,36703,60,0.1703,12,2,0,Outro,Divorciado,Médio,Sudeste,ES,Grande,Empréstimo Consignado,Digital
100176,46,15456,452,50557,12,0.2437,13,2,1,F,Casado,Superior,Centro-Oeste,DF,Médio,Cartão de Crédito,Digital
100177,45,16395,332,73785,12,0.2491,1,1,0,F,Divorciado,Pós-graduação,Sudeste,RJ,Médio,Financiamento Veículo,Digital
100178,25,5919,536,103458,60,0.1027,8,2,0,M,Viúvo,Médio,Nordeste,MA,Grande,Cartão de Crédito,Agência
100179,67,18120,806,133873,24,0.184,6,2,0,F,Solteiro,Médio,Nordeste,CE,Pequeno,Cartão de Crédito,Digital
100180,24,27890,670,54454,36,0.0755,4,3,4,M,Viúvo,Médio,Sudeste,SP,Grande,Cartão de Crédito,Agência
100181,43,13605,604,43215,36,0.2422,3,1,0,M,Viúvo,Pós-graduação,Sudeste,MG,Médio,Financiamento Veículo,Digital
100182,68,8016,608,104595,60,0.2398,8,2,0,F,Casado,Superior,Sul,SC,Médio,Crédito Pessoal,Digital
100183,52,29383,878,43921,36,0.119,10,3,0,F,Solteiro,Pós-graduação,Nordeste,PE,Médio,Cartão de Crédito,Agência
100184,61,26840,550,110342,36,0.1462,3,4,0,Outro,Casado,Fundamental,Sudeste,MG,Grande,Crédito Pessoal,Digital
100185,59,18442,394,66955,48,0.1973,10,3,1,M,Solteiro,Fundamental,Centro-Oeste,DF,Médio,Empréstimo Consignado,Parceiro
100186,64,12104,600,117833,12,0.0866,7,2,0,M,Viúvo,Superior,Nordeste,CE,Médio,Empréstimo Consignado,Parceiro
100187,29,11027,778,61604,60,0.1817,11,3,1,M,Viúvo,Fundamental,Centro-Oeste,DF,Grande,Crédito Pessoal,Agência
100188,38,8556,305,141119,12,0.1661,1,1,2,M,Casado,Fundamental,Sudeste,SP,Grande,Crédito Pessoal,Digital
100189,53,11319,368,141925,60,0.1979,10,2,0,F,Solteiro,Pós-graduação,Sudeste,ES,Médio,Crédito Pessoal,Agência
100190,29,19646,339,5922,36,0.165,9,1,1,M,Divorciado,Superior,Sudeste,MG,Médio,Cartão de Crédito,Parceiro
100191,41,18051,580,46024,24,0.199,4,1,0,F,Divorciado,Pós-graduação,Sudeste,SP,Pequeno,Crédito Pessoal,Agência
100192,49,22253,522,19985,48,0.2249,10,1,0,F,Divorciado,Fundamental,Nordeste,CE,Médio,Financiamento Veículo,Digital
100193,61,4481,570,48811,36,0.1378,12,3,2,M,Casado,Médio,Nordeste,MA,Grande,Financiamento Veículo,Digital
100194,68,5275,811,30046,12,0.1656,13,4,0,M,Casado,Pós-graduação,Sul,SC,Médio,Financiamento Veículo,Digital
100195,56,6758,863,39682,36,0.1841,3,2,0,M,Solteiro,Pós-graduação,Sudeste,SP,Médio,Crédito Pessoal,Agência
100196,66,13394,857,56928,24,0.1397,14,2,1,M,Solteiro,Fundamental,Nordeste,BA,Grande,Empréstimo Consignado,Agência
100197,64,2527,564,31058,48,0.1376,4,4,0,F,Casado,Pós-graduação,Centro-Oeste,MT,Grande,Cartão de Crédito,Digital
100198,37,29328,819,131471,60,0.1418,6,1,0,M,Viúvo,Pós-graduação,Nordeste,BA,Grande,Cartão de Crédito,Digital
100199,34,20539,518,38465,24,0.1416,1,4,0,F,Viúvo,Médio,Centro-Oeste,MS,Médio,Cartão de Crédito,Digital
100200,69,11510,697,116754,36,0.1833,6,2,1,F,Casado,Médio,Sudeste,ES,Pequeno,Crédito Pessoal,Agência
100201,48,22840,357,148302,60,0.1118,6,4,0,F,Solteiro,Médio,Sul,RS,Pequeno,Cartão de Crédito,Parceiro
100202,57,6976,788,52507,48,0.1993,13,4,1,F,Solteiro,Pós-graduação,Norte,AM,Médio,Empréstimo Consignado,Agência
100203,37,24883,796,43965,60,0.2213,13,1,0,M,Viúvo,Superior,Sudeste,SP,Médio,Empréstimo Consignado,Digital
100204,55,24192,851,93934,48,0.0836,14,4,1,M,Solteiro,Superior,Nordeste,MA,Grande,Cartão de Crédito,Agência
